strain	n_concordant	n	freq_concordant	index
QX28	1378	1378	1	28
QX280	1336	1375	0.971636363636364	280
QX281	1377	1378	0.999274310595065	281
QX282	7	205	0.0341463414634146	282
QX283	1373	1375	0.998545454545455	283
QX284	1375	1376	0.999273255813954	284
QX285	1367	1367	1	285
QX286	1373	1373	1	286
QX287	1374	1374	1	287
QX288	1363	1363	1	288
QX289	1030	1318	0.781487101669196	289
QX29	809	1378	0.587082728592163	29
QX290	1370	1373	0.997815003641661	290
QX291	1361	1362	0.999265785609398	291
QX292	1372	1375	0.997818181818182	292
QX293	1375	1376	0.999273255813954	293
QX294	1374	1376	0.998546511627907	294
QX295	1376	1377	0.999273783587509	295
QX296	1375	1377	0.998547567175018	296
QX297	1376	1377	0.999273783587509	297
QX298	1378	1378	1	298
QX299	1371	1375	0.997090909090909	299
QX3	724	1378	0.525399129172714	3
QX30	1011	1377	0.734204793028322	30
QX300	1129	1289	0.875872769588829	300
QX301	1248	1362	0.916299559471366	301
QX302	1363	1370	0.994890510948905	302
QX303	880	1378	0.638606676342525	303
QX304	1372	1374	0.998544395924309	304
QX305	1343	1346	0.99777117384844	305
QX306	1373	1373	1	306
QX307	1372	1372	1	307
QX308	1373	1375	0.998545454545455	308
QX309	1372	1373	0.999271667880554	309
QX31	1374	1374	1	31
QX310	1374	1375	0.999272727272727	310
QX311	1363	1367	0.997073884418434	311
QX312	1363	1369	0.995617238860482	312
QX313	1376	1376	1	313
QX314	1375	1375	1	314
QX315	1371	1372	0.999271137026239	315
QX316	1371	1374	0.997816593886463	316
QX317	1374	1375	0.999272727272727	317
QX318	1374	1374	1	318
QX319	1372	1372	1	319
QX32	1367	1367	1	32
QX320	1064	1352	0.78698224852071	320
QX321	985	1346	0.731797919762258	321
QX322	1371	1375	0.997090909090909	322
QX323	1339	1349	0.992587101556709	323
QX324	1146	1298	0.882896764252696	324
QX325	1368	1370	0.998540145985401	325
QX326	1371	1371	1	326
QX327	1371	1375	0.997090909090909	327
QX328	1007	1368	0.736111111111111	328
QX329	1375	1377	0.998547567175018	329
QX33	1377	1377	1	33
QX330	1365	1367	0.998536942209217	330
QX331	1376	1376	1	331
QX332	1368	1368	1	332
QX333	1374	1375	0.999272727272727	333
QX334	1377	1378	0.999274310595065	334
QX335	1370	1371	0.99927060539752	335
QX336	1365	1372	0.994897959183674	336
QX337	1372	1374	0.998544395924309	337
QX338	1377	1377	1	338
QX339	1371	1371	1	339
QX34	1376	1376	1	34
QX340	1373	1376	0.997819767441861	340
QX341	1369	1369	1	341
QX342	1374	1375	0.999272727272727	342
QX343	1368	1370	0.998540145985401	343
QX344	1373	1374	0.999272197962154	344
QX345	1377	1377	1	345
QX346	1363	1371	0.994164843180161	346
QX347	1376	1376	1	347
QX348	1365	1368	0.99780701754386	348
QX349	1354	1358	0.997054491899853	349
QX350	1376	1376	1	350
QX351	434	1173	0.36999147485081	351
QX352	1377	1377	1	352
QX353	1375	1375	1	353
QX354	1371	1371	1	354
QX355	1366	1369	0.997808619430241	355
QX356	1365	1370	0.996350364963504	356
QX357	1358	1371	0.990517870167761	357
QX358	1374	1378	0.997097242380261	358
QX359	1373	1373	1	359
QX36	869	1373	0.63292061179898	36
QX360	1373	1374	0.999272197962154	360
QX361	1372	1374	0.998544395924309	361
QX362	1369	1369	1	362
QX363	1369	1373	0.997086671522214	363
QX364	1367	1367	1	364
QX365	1365	1367	0.998536942209217	365
QX366	1374	1375	0.999272727272727	366
QX367	1363	1367	0.997073884418434	367
QX368	1374	1374	1	368
QX369	1367	1370	0.997810218978102	369
QX37	1374	1374	1	37
QX370	1369	1374	0.996360989810771	370
QX371	1370	1371	0.99927060539752	371
QX372	1369	1371	0.99854121079504	372
QX373	1370	1375	0.996363636363636	373
QX374	1363	1369	0.995617238860482	374
QX375	1374	1375	0.999272727272727	375
QX376	1374	1374	1	376
QX377	1375	1375	1	377
QX378	1375	1377	0.998547567175018	378
QX379	1342	1359	0.987490802060338	379
QX38	1366	1371	0.9963530269876	38
QX380	1360	1363	0.997798972853999	380
QX381	1372	1373	0.999271667880554	381
QX382	1374	1374	1	382
QX383	1363	1368	0.996345029239766	383
QX384	1310	1365	0.95970695970696	384
QX385	1368	1368	1	385
